id,name,address,latitude,longitude,distance,selected
ola-platform:5000049246004,Tara Maa Medical Store,"SBSTC Bus Terminal Digha,  New Digha Sea Beach Market Road,  New Digha,  Digha,  RamNagar-I,  Purba Medinipur,  West Bengal,  721463,  India",,,0.06 km,False
ola-platform:5000056370294,Medical Store,"New Digha,  Digha,  RamNagar-I,  Purba Medinipur,  West Bengal,  721463,  India",,,0.24 km,False
ola-platform:5000050151035,Medicine Shop,"Gadadharpur,  Digha,  West Bengal,  721463,  India",,,0.26 km,False
ola-platform:5000058421035,Surya Medical Stores,"Medical Store,  Digha Contai Road,  Old Digha,  Digha,  RamNagar-I,  Purba Medinipur,  West Bengal,  721463,  India",,,0.27 km,False
ola-platform:5000039750215,Jana Medical Store,"Dipak Rd,  New Digha,  Digha,  West Bengal,  721463,  India",,,0.29 km,False
ola-platform:5000047682857,Amarabati Medical Store,"ICICI Bank ATM,  Digha Contai Road,  Old Digha,  Digha,  RamNagar-I,  Purba Medinipur,  West Bengal,  721463,  India",,,0.30 km,False
ola-platform:5000052033434,Kanak Medical,"Digha ByPass Road,  New Digha,  Digha,  RamNagar-I,  Purba Medinipur,  West Bengal,  721463,  India",,,0.49 km,False
ola-platform:5000057321989,Rishaan Medishop,"New Digha,  Digha,  RamNagar-I,  Purba Medinipur,  West Bengal,  721463,  India",,,0.60 km,False
ola-platform:5000048186494,Das Medical Store,"Old Digha,  Digha,  RamNagar-I,  Purba Medinipur,  West Bengal,  721428,  India",,,1.03 km,False
ola-platform:5000040546761,Pradhan Medical,"Old Digha,  Digha,  RamNagar-I,  Purba Medinipur,  West Bengal,  721428,  India",,,1.03 km,False
ola-platform:5000059669479,Life Line Medical,"Sea Beach Rd,  Gadadharpur,  Digha,  West Bengal,  721428,  India",,,1.04 km,False
ola-platform:5000060383921,Manipal Hospitals Dhakuria | Best MultiSpeciality Hospital In Dhakuria,"C.I.T Scheme,  Gariahat Rd,  Dhakuria,  Lxxii Block A,  P-4 & 5,  Kolkata,  West Bengal,  700031,  India",,,133.04 km,False
ola-platform:5000051774834,M R Bangur Hospital,"Mr Bangur Hospital,  Russa Road 1st Lane,  Madar Tala Colony,  Kolkata,  West Bengal,  700033,  India",,,130.50 km,False
ola-platform:5000056004030,Nil Ratan Sircar Medical College And Hospital,"Vidyapati FlyOver,  Sealdah,  Kolkata,  West Bengal,  700014,  India",,,137.59 km,False
ola-platform:5000045062387,Jain Medical Stores,"Jain Medical P-2,  Radha Kunj,  2,  Kalakar St,  Opposite ICICI Bank,  Bara Bazar,  Jorasanko,  Kolkata,  West Bengal,  700007,  India",,,138.28 km,False
ola-platform:5000064248744,Apollo Clinic - Prince Anwar Shah Road,"Kolkata,  P,  72,  Prince Anwar Shah Rd,  Jodhpur Park,  Kolkata,  West Bengal,  700068,  India",,,131.66 km,False
ola-platform:5000049626992,Belle Vue Clinic Pharmacy,"Formerly Laudon Street,  10,  Sir Un Brahmachari Sarani,  Elgin,  Kolkata,  West Bengal,  700017,  India",,,134.76 km,False
ola-platform:5000043568971,Maa Medical,"Howrah Maidan,  Haora,  Howrah,  West Bengal,  711101,  India",,,136.23 km,False
ola-platform:5000039551931,Hind Medical Hall,"Belilious Road,  Howrah Maidan,  Haora,  Howrah,  West Bengal,  711101,  India",,,137.29 km,False
ola-platform:5000047595065,West Bengal Medical Council,"Broadway Road,  JC Block,  Sector IV,  Bidhannagar,  North 24 Parganas,  West Bengal,  700097,  India",,,141.00 km,False
ola-platform:5000037379424,Kanchan Medical Hall,"Baguiati,  Bidhannagar,  North 24 Parganas,  West Bengal,  700059,  India",,,145.93 km,False
ola-platform:5000045297352,Life Medical Hall,"Bangur,  South DumDum,  Barrackpore,  North 24 Parganas,  West Bengal,  700055,  India",,,144.00 km,False
ola-platform:5000064526442,Sunny Park Blue Print,"Ashray Housing Complex,  36/10,  C.N.Roy Road,  Kushtia,  Kolkata,  West Bengal,  700039,  India",,,135.79 km,False
ola-platform:5000043261367,B B Eye Foundation: Best Eye Hospital In Eastern India; Bladeless Lasik,"Cataract,  Glaucoma And Retina Surgery,  SukhSagar Building,  2/5A,  Sarat Bose Rd,  Near Minto Park,  Sreepally,  Bhowanipore,  Kolkata,  West Bengal,  700020,  India",,,134.47 km,False
ola-platform:5000047896878,Ali Bhai Medical Store,"Gulshan Colony,  Paschim Chowbaga,  Kolkata,  West Bengal,  700100,  India",,,137.04 km,False
ola-platform:5000035859662,Dilkhusa Blue Print,"Park Circus,  Kolkata,  West Bengal,  700017,  India",,,135.66 km,False
ola-platform:5000065399793,Howrah Pilkhana,"39 / 1,  1st Bye LN,  Pilkhana,  Salkia,  Howrah,  West Bengal,  711106,  India",,,137.82 km,False
ola-platform:5000048101572,Medicine Mart,"Picnic Garden Road,  Kushtia,  Kolkata,  West Bengal,  700039,  India",,,135.42 km,False
