Pharmacy Name,Latitude,Longitude
Santi Pharmacy,23.0713561,87.9008111
Dutta Medicine,23.0707601,87.9029354
Haragouri Medicines,23.0712216,87.9013148
Gopi Krishna Nayak & Sons,23.0711359,87.9014114
Nandi Medicine,23.0752897,87.9056876
New Life Homeo Phermacy,23.0753107,87.9056164
The Pariseba Medicin Shop,22.7080497,87.8468056
Kole Pharmacy,22.7125478,87.8519145
Anupam Pharmacy,22.9748504,88.4372154
Elite Medical Equiment,22.9757054,88.4337629
Pharmacy,22.9469593,88.4193274
Rani Medical Hall,22.9449406,88.4199735
Omkar Pharmacy,22.9447768,88.4186071
Frank Ross,22.9714649,88.4626992
Frankrose,22.9473019,88.4473982
Seth Pharmacy,22.9473357,88.4469732
Apollo Pharmacy,22.9420755,88.6390997
M/s Shanti Medical Stores,22.9419385,88.6339651
SastaSundar Healthbuddy Nagarukhra,22.942301,88.6307327
Economic Pharmacy,22.9420328,88.638747
M/s Sarkar Medical,22.9421496,88.6387078
PD Medical Hall,22.9419545,88.6376443
Raza Medical Hall,22.9114986,88.4102718
Jeebandeep,22.7682781,88.5411656
Medicine Corner,22.7695487,88.5418864
Nibedita Medipoint,22.889737,88.4147766
Ms Bose Medical,22.7682318,88.5298035
Chowdhury Pharmacy,22.7683124,88.5411464
Medishopi Pharmacy Pvt. Ltd.,22.7680551,88.5411759
Lokenath Medical Hall,22.7677919,88.5414075
Apollo Pharmacy,22.7676547,88.5414773
Medico,22.7679913,88.541308
Arogya,22.769461,88.5418067
Ayan Medical Hall,22.7674147,88.5340985
Medicino,22.7692576,88.5415328
Apollo Pharmacy,,
Maya Medical Hall,,
Apollo Pharmacy,22.9420755,88.6390997
M/s Shanti Medical Stores,22.9419385,88.6339651
SastaSundar Healthbuddy Nagarukhra,22.942301,88.6307327
Economic Pharmacy,22.9420328,88.638747
M/s Sarkar Medical,22.9421496,88.6387078
PD Medical Hall,22.9419545,88.6376443
Apollo Pharmacy,,
Life Homoe Medicine,22.7581278,88.3711704
Life Medicine,22.75816,88.3711409
M/S Remedy,22.7583502,88.3735435
Anupam Pharmacy,22.9748504,88.4372154
Elite Medical Equiment,22.9757054,88.4337629
Das Pharmacy,22.5732985,88.3723432
Pharmacy,22.9469593,88.4193274
Rani Medical Hall,22.9449406,88.4199735
Omkar Pharmacy,22.9447768,88.4186071
Frank Ross,22.9714649,88.4626992
Frankrose,22.9473019,88.4473982
Seth Pharmacy,22.9473357,88.4469732
Unknown,22.5936221,88.3870458
Frank Ross Pharmacy,22.5817383,88.3907563
Dr Majumder Homoeo World,22.5935131,88.3883411
Sri Ram Pharmacy,22.5958522,88.413124
MedPlus,22.5917061,88.3914676
Goodwill Pharmacy,22.5817744,88.3905089
Metro pharmacy,22.5925159,88.4011332
"Patanjali Mega Store, Kankurgachi",22.5813309,88.3906637
Prime minister bhartiya jan aushadhi kendra,22.5783099,88.3887187
Maa Durga pharmacy,22.5860229,88.3919014
Apollo Pharmacy,22.6007166,88.4063547
1MED PHARMACY,22.6006633,88.4061993
Ashirbad Medical,22.633696,88.4070314
Apollo Pharmacy,22.6441679,88.4395267
Raza Medical Hall,22.9114986,88.4102718
LB medicine,22.7671399,88.3729425
Jeebandeep,22.7682781,88.5411656
Medicine Corner,22.7695487,88.5418864
Nibedita Medipoint,22.889737,88.4147766
Ms Bose Medical,22.7682318,88.5298035
Momata Medical,22.7260066,88.3349233
Sandhya Medical Store,22.7259169,88.3348005
Arham Pharmacy,22.6038599,88.3829021
Chowdhury Pharmacy,22.7683124,88.5411464
B.L Pharmacy,22.9935415,88.4439852
Prime minister jan Aushadhi Kendra (pmbi),22.5898185,88.3925616
Medishopi Pharmacy Pvt. Ltd.,22.7680551,88.5411759
Lokenath Medical Hall,22.7677919,88.5414075
Apollo Pharmacy,22.7676547,88.5414773
Medico,22.7679913,88.541308
Arogya,22.769461,88.5418067
দয়াল মেডিকেল হল — Dayal Medical Hall,22.6605698,88.3852233
Ayan Medical Hall,22.7674147,88.5340985
Apollo Pharmacy,22.6214317,88.401642
Medicino,22.7692576,88.5415328
Akshoy Medicine,22.6210075,88.3989675
Apollo Pharmacy,22.6200667,88.3951028
Saha Pharmacy,22.6002316,88.3195466
Roy Medical,22.6574211,88.3991479
Medical Store,22.6584481,88.3955805
Apollo Pharmacy,,
Medicine Gallery,,
Maya Medical Hall,,
Sree Ramkrishna Pharmacy,22.4958168,88.3141608
Unknown,22.494997,88.3123307
Ballygunge Drugs Centre,22.5337863,88.3648196
Frank Ross,22.5262448,88.3657852
Sri Ramakrishna Pharmacy,22.5179768,88.3551504
Unknown,22.5222059,88.3285765
Get Well,22.5169556,88.3489454
Life Homoe Medicine,22.7581278,88.3711704
Life Medicine,22.75816,88.3711409
M/S Remedy,22.7583502,88.3735435
Unknown,22.5641673,88.3680233
Aastha,22.5429973,88.3560631
Frank Ross Pharmacy,22.5146803,88.3900771
Das Pharmacy,22.5732985,88.3723432
Frank Ross Pharmacy,22.5382703,88.3587315
Red Cross Society Medical Strore,22.4827482,88.390988
Unknown,22.5615452,88.3509288
Unknown,22.5647569,88.3533705
Lokenath Medical Shop,22.5223925,88.3801206
Unknown,22.5213418,88.3827162
Unknown,22.5194831,88.3829381
Apollo Pharmacy,22.5692819,88.4332693
Apollo Pharmacy,22.5672164,88.5123828
Medicos,22.5733134,88.4091261
Royd Pharmacy,22.55318,88.3543372
Bright Street,22.5377363,88.3693489
Apollo Pharmacy,22.4756858,88.3588855
Lifeline,22.5543144,88.3509186
Park Medico,22.55382,88.3529259
Plaza Medico,22.5450797,88.3514472
Ross Healthcare,22.5534236,88.3560195
JP Medico Private Limited,22.5555081,88.3543323
Modern Pharmacy,22.5558938,88.3543476
Vivekananda pharmacy,22.51043,88.3051319
Unknown,22.5936221,88.3870458
Frank Ross Pharmacy,22.5817383,88.3907563
Dr Majumder Homoeo World,22.5935131,88.3883411
Sri Ram Pharmacy,22.5958522,88.413124
MedPlus,22.5917061,88.3914676
Goodwill Pharmacy,22.5817744,88.3905089
Metro pharmacy,22.5925159,88.4011332
"Patanjali Mega Store, Kankurgachi",22.5813309,88.3906637
Prime minister bhartiya jan aushadhi kendra,22.5783099,88.3887187
Maa Durga pharmacy,22.5860229,88.3919014
Fair price medicine shop,22.5729375,88.3875
Apollo Pharmacy,22.6007166,88.4063547
1MED PHARMACY,22.6006633,88.4061993
Ashirbad Medical,22.633696,88.4070314
Apollo Pharmacy,22.6441679,88.4395267
Blue Print,22.5015568,88.3209848
LB medicine,22.7671399,88.3729425
Jeebandeep,22.7682781,88.5411656
Medicine Corner,22.7695487,88.5418864
Neotia Mediplus,22.4538651,88.3874737
Ms Bose Medical,22.7682318,88.5298035
Ram Medical,22.4767065,88.3811699
Apollo Pharmacy,22.4773009,88.3764346
Ramkrishna Pharmacy,22.4754331,88.3762902
Sonali Pharmacy,22.4694399,88.3780682
Spondan,22.4638698,88.3770023
Bhartiya Jan Oushadhi Kendra,22.5248911,88.366309
Momata Medical,22.7260066,88.3349233
Sandhya Medical Store,22.7259169,88.3348005
Arham Pharmacy,22.6038599,88.3829021
Chowdhury Pharmacy,22.7683124,88.5411464
Prime minister jan Aushadhi Kendra (pmbi),22.5898185,88.3925616
Medishopi Pharmacy Pvt. Ltd.,22.7680551,88.5411759
Lokenath Medical Hall,22.7677919,88.5414075
Apollo Pharmacy,22.7676547,88.5414773
Medico,22.7679913,88.541308
Arogya,22.769461,88.5418067
Medicine World,22.5617776,88.4071045
দয়াল মেডিকেল হল — Dayal Medical Hall,22.6605698,88.3852233
Ayan Medical Hall,22.7674147,88.5340985
Apollo Pharmacy,22.6214317,88.401642
Medicino,22.7692576,88.5415328
Akshoy Medicine,22.6210075,88.3989675
Apollo Pharmacy,22.6200667,88.3951028
Saha Pharmacy,22.6002316,88.3195466
Roy Medical,22.6574211,88.3991479
Medical Store,22.6584481,88.3955805
Apollo Pharmacy,,
Medicine Gallery,,
Unknown,,
Apollo,,
Pharmacia,,
Eden Pharmacy,,
Maya Medical Hall,,
Messrs Bangladesh Medical Store মেসার্স বাংলাদেশ মেডিকেল ষ্টোর,25.1162559,88.9379665
Apollo Pharmacy,22.9420755,88.6390997
M/s Shanti Medical Stores,22.9419385,88.6339651
SastaSundar Healthbuddy Nagarukhra,22.942301,88.6307327
Economic Pharmacy,22.9420328,88.638747
M/s Sarkar Medical,22.9421496,88.6387078
PD Medical Hall,22.9419545,88.6376443
Navaron Dental Care,23.0582552,88.9992852
Lopa Medicine & Surgical,,
Unknown,,
Unknown,,
Apollo Pharmacy,,
Life Homoe Medicine,22.7581278,88.3711704
Life Medicine,22.75816,88.3711409
M/S Remedy,22.7583502,88.3735435
Anupam Pharmacy,22.9748504,88.4372154
Elite Medical Equiment,22.9757054,88.4337629
Pharmacy,22.9469593,88.4193274
Rani Medical Hall,22.9449406,88.4199735
Omkar Pharmacy,22.9447768,88.4186071
Frank Ross,22.9714649,88.4626992
Frankrose,22.9473019,88.4473982
Seth Pharmacy,22.9473357,88.4469732
Apollo Pharmacy,22.9420755,88.6390997
M/s Shanti Medical Stores,22.9419385,88.6339651
SastaSundar Healthbuddy Nagarukhra,22.942301,88.6307327
Economic Pharmacy,22.9420328,88.638747
M/s Sarkar Medical,22.9421496,88.6387078
PD Medical Hall,22.9419545,88.6376443
Raza Medical Hall,22.9114986,88.4102718
LB medicine,22.7671399,88.3729425
Nibedita Medipoint,22.889737,88.4147766
Ms Bose Medical,22.7682318,88.5298035
B.L Pharmacy,22.9935415,88.4439852
Apollo Pharmacy,,
Sree Ramkrishna Pharmacy,22.4958168,88.3141608
Unknown,22.494997,88.3123307
Ballygunge Drugs Centre,22.5337863,88.3648196
Frank Ross,22.5262448,88.3657852
Sri Ramakrishna Pharmacy,22.5179768,88.3551504
Unknown,22.5222059,88.3285765
Get Well,22.5169556,88.3489454
Life Homoe Medicine,22.7581278,88.3711704
Life Medicine,22.75816,88.3711409
M/S Remedy,22.7583502,88.3735435
Unknown,22.5641673,88.3680233
Aastha,22.5429973,88.3560631
Frank Ross Pharmacy,22.5146803,88.3900771
Das Pharmacy,22.5732985,88.3723432
Frank Ross Pharmacy,22.5382703,88.3587315
Red Cross Society Medical Strore,22.4827482,88.390988
Unknown,22.5615452,88.3509288
Unknown,22.5647569,88.3533705
Lokenath Medical Shop,22.5223925,88.3801206
Unknown,22.5213418,88.3827162
Unknown,22.5194831,88.3829381
Apollo Pharmacy,22.5692819,88.4332693
Apollo Pharmacy,22.5672164,88.5123828
Medicos,22.5733134,88.4091261
Royd Pharmacy,22.55318,88.3543372
Bright Street,22.5377363,88.3693489
Apollo Pharmacy,22.4756858,88.3588855
Lifeline,22.5543144,88.3509186
Park Medico,22.55382,88.3529259
Plaza Medico,22.5450797,88.3514472
Ross Healthcare,22.5534236,88.3560195
JP Medico Private Limited,22.5555081,88.3543323
Modern Pharmacy,22.5558938,88.3543476
Vivekananda pharmacy,22.51043,88.3051319
Unknown,22.5936221,88.3870458
Frank Ross Pharmacy,22.5817383,88.3907563
Dr Majumder Homoeo World,22.5935131,88.3883411
Sri Ram Pharmacy,22.5958522,88.413124
MedPlus,22.5917061,88.3914676
Goodwill Pharmacy,22.5817744,88.3905089
Metro pharmacy,22.5925159,88.4011332
"Patanjali Mega Store, Kankurgachi",22.5813309,88.3906637
Prime minister bhartiya jan aushadhi kendra,22.5783099,88.3887187
Maa Durga pharmacy,22.5860229,88.3919014
Fair price medicine shop,22.5729375,88.3875
Apollo Pharmacy,22.6007166,88.4063547
1MED PHARMACY,22.6006633,88.4061993
Ashirbad Medical,22.633696,88.4070314
Apollo Pharmacy,22.6441679,88.4395267
Blue Print,22.5015568,88.3209848
LB medicine,22.7671399,88.3729425
Jeebandeep,22.7682781,88.5411656
Medicine Corner,22.7695487,88.5418864
Neotia Mediplus,22.4538651,88.3874737
Ms Bose Medical,22.7682318,88.5298035
Ram Medical,22.4767065,88.3811699
Apollo Pharmacy,22.4773009,88.3764346
Ramkrishna Pharmacy,22.4754331,88.3762902
Sonali Pharmacy,22.4694399,88.3780682
Spondan,22.4638698,88.3770023
Bhartiya Jan Oushadhi Kendra,22.5248911,88.366309
Momata Medical,22.7260066,88.3349233
Sandhya Medical Store,22.7259169,88.3348005
Arham Pharmacy,22.6038599,88.3829021
Chowdhury Pharmacy,22.7683124,88.5411464
Prime minister jan Aushadhi Kendra (pmbi),22.5898185,88.3925616
Medishopi Pharmacy Pvt. Ltd.,22.7680551,88.5411759
Lokenath Medical Hall,22.7677919,88.5414075
Apollo Pharmacy,22.7676547,88.5414773
Medico,22.7679913,88.541308
Arogya,22.769461,88.5418067
Medicine World,22.5617776,88.4071045
দয়াল মেডিকেল হল — Dayal Medical Hall,22.6605698,88.3852233
Ayan Medical Hall,22.7674147,88.5340985
Apollo Pharmacy,22.6214317,88.401642
Medicino,22.7692576,88.5415328
Akshoy Medicine,22.6210075,88.3989675
Apollo Pharmacy,22.6200667,88.3951028
Saha Pharmacy,22.6002316,88.3195466
Roy Medical,22.6574211,88.3991479
Medical Store,22.6584481,88.3955805
Apollo Pharmacy,,
Medicine Gallery,,
Unknown,,
Apollo,,
Pharmacia,,
Eden Pharmacy,,
Maya Medical Hall,,
Ballygunge Drugs Centre,22.5337863,88.3648196
Frank Ross,22.5262448,88.3657852
Life Homoe Medicine,22.7581278,88.3711704
Life Medicine,22.75816,88.3711409
M/S Remedy,22.7583502,88.3735435
Unknown,22.5641673,88.3680233
Aastha,22.5429973,88.3560631
Frank Ross Pharmacy,22.5146803,88.3900771
Das Pharmacy,22.5732985,88.3723432
Frank Ross Pharmacy,22.5382703,88.3587315
Unknown,22.5615452,88.3509288
Unknown,22.5647569,88.3533705
Lokenath Medical Shop,22.5223925,88.3801206
Unknown,22.5213418,88.3827162
Unknown,22.5194831,88.3829381
Apollo Pharmacy,22.5692819,88.4332693
Apollo Pharmacy,22.5672164,88.5123828
Medicos,22.5733134,88.4091261
Royd Pharmacy,22.55318,88.3543372
Bright Street,22.5377363,88.3693489
Lifeline,22.5543144,88.3509186
Park Medico,22.55382,88.3529259
Plaza Medico,22.5450797,88.3514472
Ross Healthcare,22.5534236,88.3560195
JP Medico Private Limited,22.5555081,88.3543323
Modern Pharmacy,22.5558938,88.3543476
Unknown,22.5936221,88.3870458
Frank Ross Pharmacy,22.5817383,88.3907563
Dr Majumder Homoeo World,22.5935131,88.3883411
Sri Ram Pharmacy,22.5958522,88.413124
MedPlus,22.5917061,88.3914676
Goodwill Pharmacy,22.5817744,88.3905089
Metro pharmacy,22.5925159,88.4011332
"Patanjali Mega Store, Kankurgachi",22.5813309,88.3906637
Prime minister bhartiya jan aushadhi kendra,22.5783099,88.3887187
Maa Durga pharmacy,22.5860229,88.3919014
Fair price medicine shop,22.5729375,88.3875
Apollo Pharmacy,22.6007166,88.4063547
1MED PHARMACY,22.6006633,88.4061993
Ashirbad Medical,22.633696,88.4070314
Apollo Pharmacy,22.6441679,88.4395267
Raza Medical Hall,22.9114986,88.4102718
LB medicine,22.7671399,88.3729425
Jeebandeep,22.7682781,88.5411656
Medicine Corner,22.7695487,88.5418864
Nibedita Medipoint,22.889737,88.4147766
Ms Bose Medical,22.7682318,88.5298035
Bhartiya Jan Oushadhi Kendra,22.5248911,88.366309
Momata Medical,22.7260066,88.3349233
Sandhya Medical Store,22.7259169,88.3348005
Arham Pharmacy,22.6038599,88.3829021
Chowdhury Pharmacy,22.7683124,88.5411464
Prime minister jan Aushadhi Kendra (pmbi),22.5898185,88.3925616
