city,latitude,longitude
Alipurduar,26.4851573,89.5246926
Arambag,22.8584799,87.8548716
Ashoknagar Kalyangarh,22.8387354,88.6245961
Baduria,22.7797328,88.7925594
Baharampur,24.1044927,88.2510635
Baidyabati,22.7949104,88.3317725
Bally,22.6469581,88.343612
Balurghat,25.2234352,88.7780654
Bangaon,23.0434655,88.8317765
Bankura,23.132377,87.2081925
Bansberia,22.9600234,88.4053516
Baranagar,22.6530765,88.3805962
Barasat,22.7191072,88.4826229
Bardhaman,23.2495714,87.8681751
Barrackpore,22.7641623,88.3776088
Baruipur,22.3606792,88.4322502
Basirhat,22.6611962,88.8660215
Beldanga,23.9396239,88.2495778
Bhadreswar,22.8310988,88.3570138
Bhatpara,22.8571157,88.3971976
Birnagar,23.2367126,88.5552105
Bishnupur,23.0757335,87.3146343
Bolpur,23.661154,87.6962424
Budge Budge,22.4736567,88.173933
Buniadpur,25.3860038,88.40122
Chakdaha,23.0774983,88.5320399
Champdani,22.79778,88.36583
Chandrakona,22.7294813,87.5142404
Contai,21.7805923,87.7448286
Dainhat,23.6007563,88.1716364
Dalkhola,25.8739615,87.8391252
Dankuni,22.6820899,88.2907444
Darjeeling,27.0377554,88.263176
Dhulian,24.6786543,87.954654
Dhupguri,26.5889048,89.0069721
Diamond Harbour,22.1926886,88.1894879
Dinhata,26.1279625,89.4631456
Domkal,24.1209008,88.5499213
Dubrajpur,23.7911288,87.3780882
Dum Dum,22.6520597,88.4360417
Egra,21.9046997,87.536655
English Bazar,25.0057449,88.1398483
Falakata,26.6007184,89.1280874
Gangarampur,25.4070884,88.516124
Garulia,22.8186031,88.3626129
Gayespur,22.9520439,88.4891481
Ghatal,22.6823015,87.699166
Gobardanga,22.883175,88.7621132
Guskara,23.4926217,87.7371023
Habra,22.8400629,88.6630678
Haldia,22.028124,88.0632655
Haldibari,26.3352821,88.782474
Halisahar,22.9322475,88.4248587
Haringhata,22.96077,88.5674629
Hugli-Chuchura,22.8992251,88.3921337
Islampur,26.2563651,88.1860517
Jalpaiguri,26.6262804,88.7334485
Jangipur,24.4561534,88.1073968
Jaynagar Majilpur,22.1751976,88.4200808
Jhalda,23.3695157,85.9733646
Jhargram,22.4538505,86.9949477
Jiaganj Azimganj,24.238101,88.261914
Kaliaganj,25.63442,88.32665
Kalimpong,27.0702869,88.4723676
Kalna,23.2211183,88.3591889
Kalyani,22.9749723,88.4345915
Kamarhati,22.6810246,88.3715343
Kanchrapara,22.9496431,88.4378838
Kandi,23.957862,88.0422449
Katwa,23.644278,88.1287333
Kharagpur,22.34309,87.3012875
Kharar,22.72211,87.67824
Khardaha,22.7156992,88.381582
Koch Bihar,26.3223696,89.4592445
Konnagar,22.69972,88.3519784
Krishnanagar,23.4058481,88.4958935
Kshirpai,24.0,88.0
Kurseong,26.8818268,88.2783637
Madhyamgram,22.6947839,88.4530183
Maheshtala,22.5060294,88.2501665
Mainaguri,26.5652519,88.8221321
Mal,26.7864947,88.6678175
Mathabhanga,26.3643908,89.1994116
Mekliganj,26.3451783,88.9078861
Memari,23.1777293,88.0966249
Midnapore,22.4207025,87.3269963
Murshidabad,24.1745993,88.2721335
Nabadwip,23.4086684,88.3657991
Naihati,22.8886213,88.4239345
Nalhati,24.2966075,87.835306
New Barrackpur,24.0,88.0
North Barrackpur,22.8604934,88.4193546
North Dumdum,22.6660837,88.4211986
Old Malda,25.04237,88.13867
Panskura,22.3994709,87.7175073
Panihati,22.6950342,88.4073585
Pujali,22.4601371,88.1340191
Purulia,23.2020967,86.3228988
Raghunathpur,23.5381361,86.6739117
Raiganj,25.6271966,88.1317967
Rajpur Sonarpur,22.4408748,88.4246368
Ramjibanpur,22.1047763,88.3819803
Rampurhat,24.1763069,87.7859569
Ranaghat,23.1738124,88.563677
Rishra,22.7247059,88.3434353
Sainthia,23.9496876,87.6829354
Santipur,23.2597741,88.4371634
Serampore,22.7549951,88.3416672
Sonamukhi,23.3034587,87.4139034
South Dumdum,22.6180871,88.412251
Suri,23.9080538,87.5277255
Taki,22.5859414,88.9267299
Tamluk,22.2896984,87.9255933
Tarakeswar,22.8823987,88.0142006
Titagarh,22.7419198,88.379201
Tufanganj,26.3139208,89.6665579
Uluberia,22.4700318,88.1011108
Uttarpara Kotrung,22.6675463,88.3437177
